sid,name,country,n,bias,rmse,offset_km,elev,cell_lat,cell_lon,water_km,near_water
26080099999,KIRISHI,Russia,2908,0.23068592013814262,0.8130759472870632,2.001989377994616,26.0,59.45981904315698,32.00392776982184,59.14951123758926,False
26094099999,TIHVIN,Russia,2898,-0.09925245833939891,0.8491507951302968,0.561814202568659,61.0,59.65258692018717,33.558410907002724,83.66832407960067,False
26099099999,EFIMOVSKAJA,Russia,2834,0.013322654406454021,0.6924406997987449,1.3814604824044432,176.0,59.49834433056958,34.67610638869152,143.32970730584552,False
26134099999,KUUSIKU,Estonia,2910,0.06601768677177297,0.7415048784920928,1.905273358824994,52.0,58.98093393877979,24.714415432161985,50.60326671207413,False
26135099999,TURI,Estonia,2874,-0.032210949052931453,0.6179220116892168,2.2588638497977014,65.0,58.79748650205988,25.408044564406083,71.75053874794985,False
26141099999,VALKE-MAARJA,Estonia,2873,0.014462217602462583,0.7440845665368849,1.68630998748516,123.0,59.143687279984974,26.25340169361129,47.78568940803894,False
26144099999,JOGEVA,Estonia,2908,0.13872954146898106,0.6911218301692157,2.997613854477101,71.0,58.76478485257348,26.45968196680209,29.927833116132167,False
26145099999,TILRIKOJA,Estonia,2912,-0.8291924487103474,1.7941655884414298,3.160850673555139,34.0,58.84623902318117,26.98650569290095,0.0,True
26157099999,GDOV,Russia,2887,-0.24773796142324428,0.8782409739162861,1.5553864101591566,40.0,58.73352228640922,27.806403981808103,1.3743042231143807,True
26167099999,NIKOLAEVSKOE,Russia,2899,0.09008491571379679,0.8520207529360905,3.120632026990834,91.0,58.59287441584278,29.780880593901315,74.8572841090252,False
26179099999,NOVGOROD,Russia,2849,-0.0454707329463189,0.7325106723620616,2.571308516541577,24.0,58.51574750036817,31.206311119397185,6.979858032172862,True
26233099999,VILJANDI,Estonia,2908,-0.13846554972610578,0.708237784518328,0.5512064006235861,86.0,58.37186741004038,25.59891415696015,62.39929389362388,False
26242099999,TARTU,Estonia,2905,-0.005857328588909191,0.7808786272070025,3.1276939030198743,66.8,58.32568482523508,26.729220993829017,33.129874385113446,False
26258099999,PSKOV,Russia,2917,-0.01396958093182209,0.8000204944479561,1.4845295889773742,46.9,57.78902246725935,28.37306089176201,17.931215748494942,False
26268099999,DNO,Russia,796,-0.025530300427920875,0.8288631017597337,2.5407504713221507,71.0,57.80560637197747,29.913310032967104,73.4309063834635,False
26275099999,STARAYA RUSSA,Russia,2892,0.04559055819056342,0.750617104044511,2.346898391521979,25.0,58.03679530834071,31.304423917026128,12.72734895939169,False
26285099999,KRESTCY,Russia,760,0.008820929276315748,0.6631131467287049,2.098406240257516,63.0,58.28561983899383,32.53536155190736,50.9947035259711,False
26291099999,BOROVICI,Russia,1968,0.13275225879700206,0.6425363650039813,2.120957070842311,89.0,58.39839086649757,33.89420982531206,132.1682472305868,False
26298099999,BOLOGOE,Russia,1375,-0.022103866299715908,0.5801201967752619,0.9733270654414312,188.0,57.90106299085368,34.046182592710494,144.234825332307,False
26381099999,DEMJANSK,Russia,753,-0.03563654723553701,0.8680992985866136,3.672530051839432,62.0,57.63578484622565,32.41194366526261,76.90426152716687,False
26389099999,OSTASKOV,Russia,1332,-0.10567278704485734,0.5305179125430033,2.091638920097018,218.0,57.135827601167016,33.150981217601895,148.47700165579622,False
26393099999,VYSNIJ VOLOCEK,Russia,1339,-0.10210344287510503,0.6788663853255168,1.671734165412631,169.0,57.536100981459946,34.57698329084656,188.07831038723742,False
27008099999,BABAEVO,Russia,1412,0.10593015546501529,0.691972054698936,2.67222737560262,137.0,59.40867948143994,35.943293723925024,94.14290330190543,False
27106099999,USTYUZHNA,Russia,1089,-0.18899415631815308,0.8139991340692014,1.363128382182482,125.0,58.83881668295815,36.42405877432316,42.36337240600613,False
27108099999,OHONY,Russia,836,0.037199204732356446,0.6354349685845503,1.8200048482107476,145.0,58.58238959336321,35.62347191960245,90.62547302474647,False
27208099999,MAKSATIKHA,Russia,1404,0.014849996974325578,0.5438655641755287,2.306276315731933,142.0,57.80219786976173,35.84468162608229,126.84381544159925,False
