sid,n,era5,cerra,headroom,name,country,elev,offset_km,era5_offset_km
02967099999,2914.0,0.8888029809033993,0.8535305769855237,0.03527240391787556,KOTKA HAAPASAARI,Finland,5.5,2.5839579503334558,5.299743940635763
02976099999,2838.0,1.2540081949342725,1.1561249572544936,0.09788323767977891,KOTKA RANKKI,Finland,13.1,2.7617824861720157,13.376429915712746
02987099999,2485.0,0.8573402269833993,0.9370613971800942,-0.07972117019669489,PORVOO KALLBADAGRUND,Finland,23.3,1.835534242447333,5.97193735491131
02991099999,2904.0,1.2271543863386716,0.780153462011555,0.4470009243271166,PORVOO EMASALO,Finland,27.1,3.3587813556224364,8.673270953720685
02992099999,2915.0,0.9712998729261837,1.0546228910772446,-0.08332301815106091,LOVIISA ORRENGRUND,Finland,3.5,1.9182601531477912,4.671361133697513
22717099999,741.0,1.3540278470499145,1.2828201461344402,0.07120770091547435,SUOYARVI,Russia,156.0,1.985838591191506,12.998350138418239
22721099999,2900.0,1.1615833743713837,0.745934949409688,0.41564842496169574,MEDVEZEGORSK,Russia,81.0,2.25471505205184,10.118525227999488
22727099999,737.0,1.076558142071455,0.8571876212440704,0.2193705208273845,KONDOPOGA,Russia,38.0,2.645642550923499,9.832557402464275
22802099999,2896.0,1.2544920001883255,0.8536118514869252,0.4008801487014003,SORTAVALA,Russia,19.0,2.2506780108344566,4.155835649817929
22805099999,2197.0,1.8475466075421367,1.4863350539196636,0.36121155362247315,VALAAM,Russia,16.0,0.9429832613620712,14.745762636860055
22820099999,2917.0,1.1341620928469671,0.8633983274334368,0.2707637654135303,PETROZAVODSK,Russia,110.0,3.203111491688335,7.6820165707155565
22831099999,2912.0,1.3777559746766255,0.8631424863932902,0.5146134882833353,PUDOZ,Russia,44.0,1.341596265840844,7.236324843238012
22837099999,1430.0,1.0084354838596048,0.7798838210406355,0.22855166281896933,VYTEGRA,Russia,56.0,2.7095608203598585,3.359288707022312
22845099999,2912.0,0.9275465760668512,0.6722500580464392,0.255296518020412,KARGOPOL',Russia,126.0,3.4484978602965928,3.635128075089641
22892099999,2912.0,1.1375912905290715,0.9072976718099048,0.23029361871916665,VYBORG,Russia,13.0,2.111979876876233,3.857726544846444
