sid,name,country,lat,lon,elev,y_idx,x_idx,cell_lat,cell_lon,offset_km,fold
26069099999,BELOGORKA,Russia,59.35,30.133,90.0,38,55,59.35457040760078,30.128639244723473,0.573352575215791,4
22939099999,BELOZERSK,Russia,60.017,37.75,131.0,78,125,60.02752234729699,37.79711305193453,2.9154814487009344,0
26298099999,BOLOGOE,Russia,57.9,34.03,188.0,23,104,57.90106299085368,34.046182592710494,0.9733270654414311,2
26291099999,BOROVICI,Russia,58.417,33.9,89.0,32,99,58.39839086649757,33.89420982531206,2.120957070842311,2
26381099999,DEMJANSK,Russia,57.65,32.467,62.0,12,89,57.635784846225654,32.41194366526261,3.6725300518394324,2
26268099999,DNO,Russia,57.817,29.95,71.0,7,62,57.80560637197747,29.913310032967104,2.5407504713221507,4
26099099999,EFIMOVSKAJA,Russia,59.5,34.7,176.0,56,99,59.49834433056958,34.67610638869152,1.3814604824044432,2
26157099999,GDOV,Russia,58.733,27.833,40.0,19,35,58.73352228640922,27.806403981808103,1.5553864101591566,4
22845099999,KARGOPOL',Russia,61.5,38.933,126.0,110,124,61.47283434375575,38.96125570030125,3.4484978602965928,0
26059099999,KINGISEPP,Russia,59.367,28.6,19.0,34,40,59.373741163276556,28.643897448184305,2.6353545381626313,4
26080099999,KIRISHI,Russia,59.45,32.033,26.0,46,73,59.45981904315698,32.00392776982184,2.001989377994616,2
22727099999,KONDOPOGA,Russia,62.167,34.3,38.0,106,76,62.15929434099524,34.253133243118754,2.645642550923499,0
26285099999,KRESTCY,Russia,58.267,32.533,63.0,25,86,58.28561983899383,32.53536155190736,2.098406240257516,2
26078099999,LJUBAN',Russia,59.35,31.233,39.0,41,66,59.334067220630345,31.218142652650613,1.9902074044335614,2
22913099999,LODEJNOE POLE,Russia,60.717,33.55,23.0,76,80,60.72847423148177,33.60226289950441,3.175787619434664,0
27208099999,MAKSATIKHA,Russia,57.8,35.883,142.0,28,123,57.802197869761734,35.84468162608229,2.306276315731933,2
22721099999,MEDVEZEGORSK,Russia,62.917,34.433,81.0,121,72,62.9037140951776,34.401041874221306,2.2547150520518398,0
26167099999,NIKOLAEVSKOE,Russia,58.567,29.8,91.0,22,56,58.59287441584278,29.780880593901315,3.120632026990834,4
22917099999,NOVAJA LADOGA,Russia,60.117,32.317,9.0,60,72,60.12154391762488,32.34238657151485,1.5200304717005282,2
26179099999,NOVGOROD,Russia,58.517,31.25,24.0,25,71,58.51574750036817,31.206311119397185,2.571308516541577,2
27108099999,OHONY,Russia,58.567,35.633,145.0,42,115,58.58238959336321,35.62347191960245,1.8200048482107474,2
22912099999,OLONEC,Russia,60.983,32.983,12.0,79,72,60.994351958901895,32.949643700710396,2.2425378152371365,0
26389099999,OSTASKOV,Russia,57.133,33.117,218.0,5,100,57.135827601167016,33.150981217601895,2.091638920097018,2
